cntry,asn,Frequency
BR,53090.0,1
BR,53093,1123
BR,53093.0,35
BR,53094,79
BR,53095,63
BR,53095.0,15
BR,53096,55
BR,53097,282
BR,53097.0,2
BR,53098,637
BR,53098.0,11
BR,53099,1398
BR,53099.0,52
BR,53102,130
BR,53102.0,3
BR,53104,137
BR,53104.0,2
BR,53106,341
BR,53106.0,12
BR,53108,149
BR,53108.0,2
BR,53109,191
BR,53109.0,3
BR,53110,693
BR,53110.0,21
BR,53111,247
BR,53111.0,7
BR,53112,2
BR,53115,1850
BR,53115.0,89
BR,53118,285
BR,53118.0,21
BR,53119,30
BR,53122,403
BR,53122.0,7
BR,53123,832
BR,53123.0,18
BR,53127,64
BR,53127.0,5
BR,53128,2190
BR,53128.0,104
BR,53130,266
BR,53130.0,21
BR,53131,40
BR,53134,65
BR,53134.0,2
BR,53135,915
BR,53135.0,32
BR,53140,42
BR,53141,6
BR,53142,33
BR,53143,148
BR,53143.0,5
BR,53144,176
BR,53144.0,13
BR,53145,41
BR,53145.0,1
BR,53146,20
BR,53147,2905
BR,53147.0,96
BR,53148,4
BR,53148.0,1
BR,53153,86
BR,53153.0,3
BR,53156,367
BR,53156.0,10
BR,53158,69
BR,53158.0,8
BR,53160,323
BR,53160.0,4
BR,53163,1319
BR,53163.0,40
BR,53164,8
BR,53164.0,2
BR,53165,106
BR,53165.0,3
BR,53170,81
BR,53170.0,4
BR,53171,377
BR,53171.0,12
BR,53172,656
BR,53172.0,22
BR,53173,96
BR,53173.0,2
BR,53174,34
BR,53175,755
BR,53175.0,30
BR,53176,6
BR,53177,158
BR,53177.0,5
BR,53178,78
BR,53178.0,12
BR,53182,48
BR,53182.0,5
BR,53184,34
BR,53184.0,1
BR,53194,170
BR,53194.0,6
BR,53195,575
BR,53195.0,22
BR,53201,302
BR,53201.0,24
BR,53202,549
BR,53202.0,32
BR,53205,39
BR,53205.0,4
BR,53206,275
BR,53206.0,5
BR,53207,8
BR,53207.0,1
BR,53209,116
BR,53209.0,1
BR,53211,296
BR,53211.0,7
BR,53223,135
BR,53223.0,6
BR,53226,253
BR,53226.0,8
BR,53230,42
BR,53230.0,2
BR,53246,13
BR,53246.0,6
BR,7465,7
BR,7738,630394
BR,7738.0,21449
BR,8167,312769
BR,8167.0,10266
BS,15146,992
BS,15146.0,38
BS,8014,136
BS,8014.0,3
BT,17660,880
BT,17660.0,11
BT,38740,102
BW,14988,598
BW,14988.0,16
BW,37014,15
BW,37014.0,6
BY,12358,585
BY,12358.0,24
BY,12406,948
BY,12406.0,36
BY,13171,145
BY,13171.0,18
BY,20852,1946
BY,20852.0,84
BY,21062,182
BY,21062.0,2
BY,21236,444
BY,21236.0,17
BY,21274,31
BY,21274.0,15
BY,21305,368
BY,21305.0,12
BY,24659,28
BY,24659.0,1
BY,24827,1942
BY,24827.0,84
BY,25067,38
BY,25067.0,1
BY,25106,1902
BY,25106.0,103
BY,28849,95
BY,31143,4811
BY,31143.0,254
BY,31289,150
BY,31289.0,6
BY,31482,26
BY,34421,162
BY,34421.0,2
BY,35651,904
BY,35651.0,23
BY,35668,199
BY,42036,1861
BY,42036.0,80
BY,42146,1
BY,42278,64
BY,42278.0,1
BY,42772,1277
BY,42772.0,66
BY,44087,4028
BY,44087.0,175
BY,44397,382
BY,44397.0,13
BY,44841,7
BY,44841.0,2
BY,48352,82
BY,48352.0,2
BY,48743,533
BY,48743.0,19
BY,50155,47
BY,50155.0,1
BY,50176,181
BY,50176.0,7
BY,50345,25
BY,50345.0,1
BY,50438,8
BY,50438.0,3
BY,50528,552
BY,50528.0,19
BY,50532,2
BY,50590,203
BY,50593,154
BY,50593.0,5
BY,50685,215
BY,50685.0,16
BY,50929,3
BY,51276,38
BY,51276.0,1
BY,6697,84516
BY,6697.0,3769
BZ,10269,27
CA,10929,644
CA,11084,12
CA,11260,223
CA,11290,18
CA,11478,279
CA,11814,355
CA,13768,9
CA,14366,68
CA,15290,397
CA,16532,141
CA,16751,26
CA,174,14
CA,18563,120
CA,19397,413
CA,19662,287
CA,20453,14
CA,21548,18
CA,21570,3
CA,22799,7
CA,22995,2
CA,23307,1
CA,25761,8
CA,26198,40
CA,26480,42
CA,26788,1249
CA,2735,34
CA,27716,282
CA,28753,31
CA,29286,140
CA,29761,17
CA,29773,2
CA,30176,1
CA,30336,4
CA,32233,161
CA,32580,56
CA,32613,379
CA,32984,305
CA,33139,954
CA,35843,54
CA,35911,134
CA,3602,132
CA,36493,1
CA,36666,7
CA,37054,54
CA,376,14
CA,40660,4
CA,41176,8
CA,47027,36
CA,53667,32
CA,5645,600
CA,5769,3391
CA,577,13265
CA,6327,2120
CA,6407,9
CA,6453,5
CA,6539,98
CA,701,687
CA,7456,272
CA,7992,225
CA,802,1
CA,803,324
CA,812,3625
CA,813,11
CA,852,1914
CA,855,131
CD,12491,1267
CD,22351,5564
CD,32842,362
CD,37020,67
CD,43256,127
CD,5377,77
CD,5511,55
CD,8513,2044
CG,12491,136
CG,25395,125
CG,37281,173
CG,6453,56
CG,6866,4
CH,1257,4
CH,12620,41
CH,15547,10
CH,15600,4
CH,15796,14
CH,21040,10
CH,21069,14
CH,21246,269
CH,25375,6
CH,29201,4
CH,3303,96
CH,34781,24
CH,35518,12
CH,41622,5
CH,41715,6
CH,41872,22
CH,42496,37
CH,44038,1213
CH,44885,152
CH,48971,3
CH,51852,38
CH,6730,380
CH,6772,6
CH,8404,1054
CI,29571,50202
CI,36974,749
CI,36995,151
CI,37000,430
CL,13381,328
CL,14117,5158
CL,14259,1287
CL,15311,787
CL,16629,789
CL,18747,2
CL,20015,398
CL,20191,15
CL,22047,9523
CL,22860,49
CL,27659,64
CL,27680,2035
CL,27701,2
CL,27901,4
CL,27925,2978
CL,27979,72
CL,27995,687
CL,6429,1235
CL,6471,2671
CL,6535,1767
CL,7418,20758
CM,15964,8277
CM,16637,444
CM,16637_2905,4484
CM,36905,3089
CM,36912,9148
CM,36955,847
CM,37034,1400
CM,37089,143
CM,8513,2
CN,17429_24416,27
CN,17429_9811,3
CN,17430,45
CN,17431,79
CN,17621,138
CN,17622,314
CN,17623,451
CN,17633,665
CN,17638,188
CN,17672,130
CN,17785,356
CN,17799,197
CN,17816,1441
CN,17816_17964,20
CN,17883,233
CN,17896,393
CN,17897,497
CN,17923,172
CN,17962,214
CN,17964,26
CN,17964_17431,116
CN,17968,495
CN,17969,35
CN,18118,22
CN,18252,32
CN,23724,136
CN,23771,9
CN,23850,35
CN,23851,13
CN,24139,9
CN,24400,14
CN,24416,4
CN,24444,298
CN,24445,109
CN,24547,14
CN,38019,6
CN,38356,24
CN,38356_24138,19
CN,4134,61991
CN,45112,18
CN,4538,289
CN,4808,3820
CN,4808_17964,4
CN,4808_24138_38356,76
CN,4809,12
CN,4812,2261
CN,4812_38363,86
CN,4813,268
CN,4837,32357
CN,4847,1110
CN,4847_17816,222
CN,4847_4808,5
CN,4847_9811,1
CN,7497,3
CN,9308,56
CN,9394,2435
CN,9394_4808,87
CN,9808,2034
CN,9812,11
CN,9929,9
CO,10299,2063
CO,10620,21968
CO,11581,138
CO,13489,13945
CO,13878,54
CO,14080,2359
CO,14187,1486
CO,15246,80
CO,18678,3832
CO,18747,3704
CO,19429,27310
CO,22368,1370
CO,22698,8
CO,23520,5885
CO,26596,92
CO,26605,4
CO,26611,3571
CO,26619,38
CO,27650,200
CO,27695,3319
CO,27763,547
CO,27765,25
CO,27810,380
CO,27817,18
CO,27829,12
CO,27831,2403
CO,27837,623
CO,27845,345
CO,27855,353
CO,27864,391
CO,27921,5249
CO,27937,66
CO,27941,792
CO,28032,14
CO,28057,9
CO,28083,1698
CO,32034,66
CO,3549,180
CO,3549_27817,3
CO,3816,52237
CO,52286,55
CO,7195,313
CO,8065,86
CO,8163,2441
CR,11830,6956
CR,20299,1028
CR,28050,10
CR,28086,241
CR,3790,1687
CR,52263,39
CU,27725,15
CV,8657,775
CY,15805,858
CY,16229,823
CY,24672,25
CY,30916,31
CY,3268,1
CY,35432,1597
CY,41697,352
CY,43356,74
CY,43356_65500,9
CY,44558,82
CY,44873,42
CY,47883,3
CY,5425,142
CY,5504,161
CY,6866,5728
CY,9121,68
CZ,10282,15
CZ,12570,173
CZ,13036,587
CZ,15425,80
CZ,15614,21
CZ,15685,160
CZ,15935,132
CZ,16019,154
CZ,16246,70
CZ,16276,3
CZ,20723,66
CZ,21430,20
CZ,24641,6
CZ,25248,72
CZ,25424,28
CZ,25512,160
CZ,2819,351
CZ,2852,199
CZ,28725,405
CZ,28851,65
CZ,28905,16
CZ,28972,198
CZ,29113,675
CZ,29208,200
CZ,3.127,45
CZ,3.214,7
CZ,3.357,4
CZ,3.589,39
CZ,3.79,42
CZ,30764,57
CZ,34040,1
CZ,34093,86
CZ,34692,6
CZ,35214,17
CZ,35361,49
CZ,35613,70
CZ,39235,10
CZ,39761,46
CZ,39817,15
CZ,39906,76
CZ,41046,232
CZ,41456,9
CZ,41670,85
CZ,41824,94
CZ,42306,20
CZ,42908,89
CZ,43542,48
CZ,43708,12
CZ,43709,32
CZ,44002,1
CZ,44065,15
CZ,44489,204
CZ,44843,18
CZ,47232,108
CZ,47949,22
CZ,48474,22
CZ,48661,2
CZ,49101,23
CZ,49767,21
CZ,49890,2
CZ,49931,67
CZ,49985,4
CZ,50698,3
CZ,50749,1
CZ,51930,104
CZ,5407,121
CZ,5610,3116
CZ,6706,21
CZ,6830,875
CZ,8251,25
CZ,9080,160
DE,12355,237
DE,12360,11
DE,12466,4
DE,12638,642
DE,12684,192
DE,12693,1
DE,12816,47
DE,12843,6
DE,13045,8
DE,13101,2
DE,13184,2130
DE,15531,4
DE,15709,1013
DE,15747,49
DE,15763,33
DE,15943,6
DE,16097,2
DE,16202,6
DE,16276,12
DE,20535,188
DE,20676,348
DE,20686,40
DE,20825,1292
DE,20880,83
DE,21246,320
DE,24627,37
DE,24940,739
DE,24961,2
DE,25295,50
DE,25394,3
DE,28753,1756
DE,29037,6
DE,29141,9
DE,29259,654
DE,29286,137
DE,29484,31
DE,29562,1020
DE,3.435,246
DE,30083,1
DE,31103,18
DE,31208,2
DE,31334,2317
DE,31371,3
DE,31400,2
DE,31438,4
DE,3209,8319
DE,3257,40
DE,3320,19229
DE,34444,394
DE,35244,16
DE,35776,79
DE,39151,10
DE,39706,1550
DE,41039,26
DE,41786,28
DE,42652,17
DE,42965,13
DE,43150,11
DE,43341,12
DE,44178,296
DE,44944,2
DE,49291,13
DE,51167,184
DE,5409,29
DE,553,32
DE,6724,33
DE,680,148
DE,6805,2681
DE,8220,2
DE,8365,1
DE,8422,210
DE,8560,238
DE,8585,6
DE,8767,110
DE,8881,546
DE,8972,129
DE,9066,1
DE,9145,189
DJ,30990,295
DK,15516,85
DK,16245,3
DK,1835,19
DK,29542,25
DK,3.693,117
DK,31027,228
DK,31661,32
DK,3292,1345
DK,3308,280
DK,33796,4
DK,34482,5
DK,34823,64
DK,35158,14
DK,35376,1
DK,39554,23
DK,39642,14
DK,42525,73
DK,42541,2
DK,43027,61
DK,43557,14
DK,44034,40
DK,47154,4
DK,6785,169
DM,11139,32
DO,12066,27142
DO,27887,1001
DO,27896,1077
DO,28053,991
DO,28118,5437
DO,6400,84487
DZ,21391,96
DZ,3208,1057
DZ,33774,21245
DZ,33779,2001
DZ,36879,1956
DZ,36891,551
DZ,36918,681
DZ,36947,12152
DZ,36947_3202,306
DZ,36947_33774,3092
DZ,36981,108
DZ,36989,835
DZ,41756,48
DZ,6453,58
EC,14420,3510
EC,14522,1464
EC,19114,1415
EC,19169,1
EC,22724,182
EC,23216,428
EC,23487,611
EC,27668,622
EC,27738,886
EC,27740,12
EC,27757,826
EC,27765,43
EC,27855,26
EC,27868,139
EC,27919,2
EC,27947,2192
EC,27958,32
EC,27968,67
EC,28006,831
EC,28025,192
EC,28058,137
EC,3549,1
EE,1257,139
EE,13272,305
EE,16014,11
EE,2586,153
EE,3221,8
EE,3249,232
EE,3327,167
EE,39038,22
EE,39301,180
EE,39823,101
EE,51504,85
EE,8728,926
EG,3328,3
EG,8452,41029
EG,15475,103
EG,15804,179
EG,20484,35
EG,20928,311
EG,24835,3839
EG,24863,15818
EG,25576,160
EG,31619,2
EG,33777,32
EG,36992,3668
EG,37069,357
EG,15475,2095
EG,15804,2920
EG,15834,93
EG,20484,1051
EG,20928,5638
EG,24835,71978
EG,24863,276230
EG,25576,2810
EG,2561,2
EG,31619,63
EG,3328,191
EG,33777,807
EG,33785,1
EG,36935,10
EG,36992,65866
EG,37069,8616
EG,6127,13
EG,6762,14
EG,6879,32
EG,8452,729536
ER,12491,11
ER,5400,1602
ES,12334,531
ES,12338,836
ES,12357,2829
ES,12386,8
ES,12430,1804
ES,12479,2667
ES,12715,2640
ES,12946,221
ES,13287,15
ES,15704,5
ES,15732,169
ES,15734,34
ES,16206,112
ES,16276,10
ES,16338,696
ES,174,2
ES,20838,2225
ES,20921,334
ES,21193,6142
ES,25137,4
ES,29119,516
ES,3262,4
ES,3339,1
ES,3352,12807
ES,34471,5
ES,34511,36
ES,34977,226
ES,35394,8
ES,39155,36
ES,39738,16
ES,41368,2
ES,41558,12
ES,42493,3
ES,42666,60
ES,44278,21
ES,44939,40
ES,4589,44
ES,47507,1
ES,48624,1
ES,49603,93
ES,5400,20
ES,65100_29119,9
ES,6739,8648
ES,6739_16338,36
ES,766,250
ES,8239,186
ES,8928,93
ET,24757,3855
EU,2686,7
EU,35074,30
FI,15527,1
FI,16086,106
FI,16276,1
FI,16302,21
FI,1741,15
FI,1759,28
FI,21366,49
FI,24751,50
FI,39699,1
FI,42343,4
FI,47732,2
FI,50503,6
FI,719,60
FI,790,21
FJ,45349,1482
FJ,9241,492
FM,10130,32
FR,12322,17024
FR,12626,24
FR,12670,990
FR,12684,58
FR,13193,292
FR,15557,8678
FR,16276,298
FR,20776,80
FR,21351,5
FR,21409,21
FR,21502,4464
FR,2200,119
FR,22351,316
FR,25187,3
FR,25540,46
FR,28708,115
FR,29169,12
FR,29204,25
FR,29286,12
FR,31167,32
FR,3215,18117
FR,34383,59
FR,35238,132
FR,35632,11
FR,38176,33
FR,41272,21
FR,41334,2
FR,42811,91
FR,42937,1
FR,43698,83
FR,44530,7
FR,44756,348
FR,4589,176
FR,47206,9
FR,47798,14
FR,47866,8
FR,48185,2
FR,48518,13
FR,49112,19
FR,49902,36
FR,5410,665
FR,5511,118
FR,65010_49902,4
FR,702,75
FR,8218,6
FR,8228,1543
FR,8346,67
FR,8362,5
FR,8399,73
FR,8565,3
FR,8803,2
FR,9003,7
GA,11300,246
GA,12491,9
GA,16058,2357
GA,29286,70
GA,6866,51
GB,12301,17
GB,12390,2
GB,12513,63
GB,12576,364
GB,1273,86
GB,13037,39
GB,13126,398
GB,13207,2
GB,13213,177
GB,13285,4022
GB,15395,20
GB,15418,546
GB,15533,5
GB,15641,189
GB,15706,32
GB,16082,228
GB,16276,31
GB,16422,7
GB,17539,288
GB,20500,181
GB,20520,2
GB,20679,33
GB,20738,139
GB,21327,1054
GB,24627,1
GB,24661,12
GB,25041,14
GB,2529,6
GB,25310,76
GB,25320,83
GB,25577,5
GB,25973_15003,27
GB,2686,43
GB,27822,11
GB,2856,8824
GB,28757,18
GB,29131,477
GB,29180,91
GB,29328,185
GB,29550,212
GB,30740,3
GB,30827,4
GB,31198,34
GB,31290,223
GB,31515,16
GB,33970,3
GB,34407,13
GB,35228,383
GB,3549,3
GB,35662,26
GB,35736,554
GB,38031,23
GB,38193,39
GB,38193_17539,33
GB,39388,26
GB,39852,7
GB,41012,2
GB,41230,54
GB,41659,73
GB,41811,17
GB,42689,45
GB,42831,3
GB,43234,1420
GB,43242,20
GB,44671,8
GB,4589,36
GB,47099,12
GB,4913,26
GB,49823,1
GB,50056,19
GB,50710,3
GB,5089,9358
GB,5388,22
GB,5552,1
GB,5607,3536
GB,5617,12
GB,6717,10
GB,6871,41
GB,6894,3
GB,702,103
GB,786,479
GB,8190,64
GB,8220,29
GB,8401,55
GB,8468,7
GB,8553,16
GB,8586,142
GB,8607,1
GB,8897,1
GB,9105,1004
GD,11139,3
GD,46650,12
GE,12497,3398
GE,15491,961
GE,16010,9574
GE,20545,674
GE,20771,169
GE,20771_28751,422
GE,24997,44
GE,25249,3405
GE,28751,15426
GE,34666,33
GE,34797,8041
GE,35076,100
GE,35805,15184
GE,41738,175
GE,41877,202
GE,42082,147
GE,44327,16
GE,44877,830
GE,47697,2
GE,47921,536
GE,49129,539
GE,49254,299
GE,49297,117
GF,21351,146
GF,3215,280
GH,15641,20
GH,15825,38
GH,24890,166
GH,29340,255
GH,29614,28608
GH,29674,199
GH,30986,4285
GH,33780,76
GH,33786_29614,915
GH,35091,1522
GH,36888,2
GH,36900,36
GH,36961,671
GH,37012,40
GH,37030,299
GH,37032,1
GH,37074,80
GH,37087,2
GH,37140,2045
GH,37161,97
GH,8513,61
GM,25250,3173
GN,22351,565
GN,27822,6
GN,29123,111
GN,5377,9
GN,8841,1607
GP,20776,66
GP,21351,24
GP,27734,1
GP,3215,42
GP,33392,3
GQ,37173,668
GR,12361,387
GR,12361.0,4
GR,1241,623
GR,1241.0,6
GR,12653,556
GR,12713,16
GR,13248,2
GR,15617,387
GR,15617.0,1
GR,21284,303
GR,25472,1832
GR,25472.0,9
GR,29247,1070
GR,29247.0,3
GR,29286,97
GR,3.513,113
GR,31443,42
GR,3329,5611
GR,3329.0,41
GR,41920,1515
GR,41920.0,3
GR,44015,92
GR,44015.0,2
GR,5408,169
GR,5408.0,4
GR,6799,18449
GR,6799.0,115
GR,6866,2944
GR,6866.0,16
GR,8248,1393
GR,8248.0,3
GR,8280,1
GR,8396,37
GT,12127,7
GT,13682,1041
GT,13682.0,137
GT,20299,718
GT,20299.0,55
GT,23243,403
GT,23243.0,7
GT,23383,108
GT,23383.0,3
GT,23520,175
GT,23520.0,21
GT,26617,23
GT,27737,58
GT,27737.0,4
GT,27773,26
GT,27773.0,7
GT,27929,56
GT,27929.0,25
GT,28049,52
GT,28049.0,6
GT,40336,43
GT,40336.0,8
GT,52276,5
GT,52276.0,4
GT,52286,81
GT,52286.0,7
GT,6458,3314
GT,6458.0,315
GT,6487,107
GT,6487.0,7
GU,3605,174
GU,3605.0,17
GU,38456,272
GU,38456.0,4
GU,9246,37
GU,9246.0,1
GW,11300,28
GW,27822,14
GY,19863,596
GY,19863.0,51
GY,52253,19
HK,10026,1
HK,10118,81
HK,10118.0,1
HK,17444,102
HK,17444.0,3
HK,17924,247
HK,17924.0,14
HK,17973,186
HK,17973.0,3
HK,17988,22
HK,17988.0,1
HK,2.199,64
HK,24023,5
HK,24399,400
HK,24399.0,1
HK,30094,4
HK,38176,90
HK,38819,137
HK,38819.0,5
HK,4515,49
HK,4515.0,4
HK,45753,5
HK,4760,2120
HK,4760.0,141
HK,703,21
HK,9229,279
HK,9229.0,17
HK,9231,42
HK,9231.0,1
HK,9237,4
HK,9269,1099
HK,9269.0,73
HK,9304,289
HK,9304.0,19
HK,9381,28
HK,9381.0,1
HK,9444,110
HK,9444.0,17
HK,9729,1
HK,9729.0,2
HK,9908,583
HK,9908.0,26
HN,20299,816
HN,20299.0,78
HN,22869,1141
HN,22869.0,125
HN,23383,1091
HN,23383.0,41
HN,23520,26
HN,23520.0,3
HN,27696,850
HN,27696.0,53
HN,27884,862
HN,27884.0,74
HN,27920,608
HN,27920.0,85
HN,27932,155
HN,27932.0,24
HN,28088,32
HN,28088.0,3
HN,52262,1878
HN,52262.0,232
HN,6458,154
HN,6458.0,22
HN,7727,108
HN,7727.0,5
HR,1257,43
HR,1257.0,2
HR,12810,154
HR,12810.0,5
HR,13046,512
HR,13046.0,24
HR,1886,31
HR,2108,619
HR,2108.0,17
HR,31012,278
HR,31012.0,23
HR,34594,1671
HR,34594.0,48
HR,34748,45
HR,35549,210
HR,35549.0,12
HR,35567,25
HR,35567.0,1
HR,35648,150
HR,35648.0,7
HR,41454,33
HR,44377,90
HR,44377.0,1
HR,5391,5193
HR,5391.0,209
HT,27653,62
HT,27653.0,5
HT,27759,1551
HT,27759.0,138
HT,27767,462
HT,27767.0,35
HT,27774,1423
HT,27774.0,101
HT,46198,43
HT,46198.0,5
HT,52260,124
HT,52260.0,2
HT,6453,241
HT,6453.0,15
HU,12301,4606
HU,12301.0,153
HU,12594,137
HU,12594.0,2
HU,15467,420
HU,15467.0,11
HU,1955,452
HU,1955.0,34
HU,2012,8
HU,2012.0,2
HU,20510,133
HU,20742,6
HU,20845,2554
HU,20845.0,199
HU,20922,338
HU,20922.0,15
HU,21229,304
HU,21229.0,11
HU,21334,1970
HU,21334.0,122
HU,24822,936
HU,24822.0,34
HU,24991,64
HU,24991.0,1
HU,28924,9
HU,29278,718
HU,29278.0,24
HU,3.362,4
HU,30836,76
HU,30904,95
HU,31219,131
HU,31219.0,2
HU,3340,1055
HU,3340.0,40
HU,33947,2
HU,34226,175
HU,34226.0,4
HU,34588,1480
HU,34588.0,48
HU,35311,1066
HU,35311.0,36
HU,41627,140
HU,41627.0,5
HU,42205,15
HU,42205.0,1
HU,42232,100
HU,42232.0,1
HU,42864,29
HU,42864.0,13
HU,43529,168
HU,43529.0,10
HU,43992,167
HU,43992.0,4
HU,44376,5
HU,44376.0,1
HU,44419,40
HU,44911,632
HU,44911.0,25
HU,44945,71
HU,47116,33
HU,47159,10
HU,47169,48
HU,47169.0,8
HU,47421,20
HU,49013,2
HU,49944,99
HU,49944.0,3
HU,50181,26
HU,50181.0,1
HU,51356,1
HU,51438,3
HU,5483,12838
HU,5483.0,449
HU,5513,1194
HU,5513.0,63
HU,6830,4205
HU,6830.0,134
HU,8358,199
HU,8358.0,3
HU,8448,1509
HU,8448.0,60
HU,8462,463
HU,8462.0,6
HU,8512,1166
HU,8512.0,23
HU,8990,345
HU,8990.0,14
ID,3583.0,11
ID,3758.0,8
ID,4382.0,68
ID,4434.0,401
ID,4761.0,1990
ID,4787.0,990
ID,4795.0,12536
ID,4796.0,1
ID,4800.0,2868
ID,4832.0,441
ID,4855.0,148
ID,9228.0,163
ID,9229.0,5
ID,9251.0,1
ID,9326.0,526
ID,9340.0,669
ID,9341.0,608
ID,9462.0,665
ID,9657.0,1604
ID,9785.0,334
ID,9794.0,738
ID,9875.0,2550
ID,9905.0,679
ID,10137.0,137
ID,10217.0,45
ID,10220.0,994
ID,17451.0,2657
ID,17454.0,68
ID,17658.0,351
ID,17670.0,1032
ID,17671.0,478
ID,17727.0,113
ID,17769.0,20
ID,17800.0,10
ID,17826.0,91
ID,17884.0,203
ID,17885.0,969
ID,17974.0,523260
ID,17995.0,109
ID,17996.0,321
ID,18004.0,548
ID,18007.0,90
ID,18051.0,74
ID,18052.0,49
ID,18056.0,46
ID,18059.0,378
ID,18103.0,262
ID,18112.0,25
ID,18153.0,350
ID,18156.0,148
ID,18189.0,67
ID,18351.0,147
ID,18365.0,7
ID,18379.0,1644
ID,18393.0,7
ID,23666.0,3
ID,23671.0,691
ID,23679.0,1096
ID,23691.0,41
ID,23693.0,15752
ID,23698.0,203
ID,23699.0,344
ID,23700.0,17535
ID,23756.0,185
ID,23947.0,945
ID,23949.0,300
ID,23950.0,3
ID,23951.0,1482
ID,23953.0,288
ID,24195.0,173
ID,24197.0,609
ID,24200.0,893
ID,24201.0,938
ID,24202.0,118
ID,24203.0,3166
ID,24204.0,79
ID,24206.0,271
ID,24207.0,499
ID,24209.0,54
ID,24210.0,214
ID,24212.0,334
ID,24213.0,565
ID,24518.0,1284
ID,24520.0,601
ID,24521.0,800
ID,24522.0,15
ID,24523.0,2878
ID,24525.0,501
ID,24526.0,479
ID,24527.0,851
ID,24528.0,590
ID,24530.0,594
ID,24531.0,31
ID,24532.0,1384
ID,24535.0,1308
ID,24536.0,226
ID,24538.0,1272
ID,38141.0,12
ID,38142.0,23
ID,38143.0,42
ID,38144.0,270
ID,38146.0,287
ID,38148.0,15
ID,38149.0,3144
ID,38150.0,245
ID,38153.0,10
ID,38155.0,68
ID,38156.0,269
ID,38162.0,108
ID,38163.0,27
ID,38164.0,146
ID,38165.0,30
ID,38202.0,4316
ID,38211.0,2
ID,38320.0,1779
ID,38496.0,129
ID,38497.0,7
ID,38499.0,7
ID,38500.0,444
ID,38502.0,86
ID,38503.0,62
ID,38504.0,1301
ID,38505.0,14
ID,38506.0,1137
ID,38507.0,16
ID,38509.0,11
ID,38511.0,19124
ID,38513.0,73
ID,38515.0,756
ID,38517.0,17
ID,38518.0,675
ID,38521.0,10
ID,38523.0,133
ID,38524.0,679
ID,38527.0,2325
ID,38535.0,136
ID,38542.0,5034
ID,38548.0,227
ID,38613.0,553
ID,38750.0,243
ID,38753.0,735
ID,38754.0,242
ID,38756.0,209
ID,38758.0,3719
ID,38761.0,556
ID,38763.0,206
ID,38765.0,39
ID,38766.0,268
ID,38770.0,1
ID,38772.0,138
ID,38773.0,13
ID,38776.0,915
ID,38779.0,3
ID,38780.0,4
ID,38781.0,6
ID,38783.0,244
ID,38785.0,618
ID,38786.0,85
ID,38896.0,598
ID,45146.0,176
ID,45180.0,424
ID,45287.0,212
ID,45288.0,281
ID,45289.0,1001
ID,45291.0,1574
ID,45293.0,6
ID,45295.0,130
ID,45298.0,632
ID,45302.0,135
ID,45305.0,342
ID,45308.0,139
ID,45312.0,8
ID,45315.0,6
ID,45317.0,53
ID,45318.0,137
ID,45320.0,115
ID,45325,156
ID,45698.0,210
ID,45699.0,179
ID,45701.0,35
ID,45703.0,64
ID,45705.0,15
ID,45706.0,421
ID,45707.0,167
ID,45708.0,32
ID,45709.0,47
ID,45714.0,1077
ID,45716.0,463
ID,45722.0,112
ID,45724.0,12
ID,45725.0,3273
ID,45727.0,8626
ID,45735.0,7
ID,45756.0,1
ID,45786.0,583
ID,46019.0,8
ID,46023.0,91
ID,46028.0,8
ID,46034.0,6
ID,46035.0,1
ID,46039.0,9
ID,46049.0,7
ID,46054.0,13
ID,46056.0,10
ID,46062.0,148
ID,46063.0,101
ID,55653.0,26
ID,55661.0,3
ID,55663.0,70
ID,55666.0,1788
ID,55667.0,39
ID,55672.0,75
ID,55676.0,7
ID,55818.0,35
ID,10137,435
ID,10137.0,30
ID,10217,157
ID,10217.0,17
ID,10220,2700
ID,10220.0,220
ID,17451,6961
ID,17451.0,576
ID,17454,270
ID,17454.0,32
ID,17538,2
ID,17658,923
ID,17658.0,72
ID,17670,2632
ID,17670.0,208
ID,17671,1052
ID,17671.0,154
ID,17727,220
ID,17727.0,28
ID,17769,32
ID,17769.0,4
ID,17800,11
ID,17800.0,10
ID,17826,133
ID,17826.0,23
ID,17884,592
ID,17884.0,57
ID,17885,1841
ID,17885.0,211
ID,17974,1369214
ID,17974.0,117494
ID,17995,343
ID,17995.0,33
ID,17996,981
ID,17996.0,97
ID,18004,1275
ID,18004.0,137
ID,18007,359
ID,18051,243
ID,18051.0,22
ID,18052,127
ID,18052.0,23
ID,18056,144
ID,18056.0,11
ID,18059,921
ID,18059.0,74
ID,18103,603
ID,18103.0,63
ID,18112,20
ID,18112.0,5
ID,18153,753
ID,18153.0,88
ID,18156,437
ID,18156.0,25
ID,18189,260
ID,18189.0,11
ID,18351,346
ID,18351.0,38
ID,18365,19
ID,18365.0,5
ID,18379,3883
ID,18379.0,388
ID,18393,50
ID,18393.0,1
ID,23666,13
ID,23671,1186
ID,23671.0,214
ID,23679,2504
ID,23679.0,289
ID,23691,80
ID,23691.0,12
ID,23693,36959
ID,23693.0,3039
ID,23698,723
ID,23698.0,55
ID,23699,1178
ID,23699.0,71
ID,23700,43133
ID,23700.0,4024
ID,23756,541
ID,23756.0,54
ID,23947,2305
ID,23947.0,261
ID,23949,636
ID,23949.0,92
ID,23950,5
ID,23950.0,1
ID,23951,3463
ID,23951.0,293
ID,23953,781
