cntry,asn,Frequency
BE,5432,7191
BE,6848,3817
BE,8220,2
BE,9031,347
BE,9208,2
BF,25395,72
BF,25543,4722
BF,37073,244
BF,5377,4
BG,12436,256
BG,12564,285
BG,12615,1665
BG,12716,1729
BG,12796,332
BG,12829,2140
BG,13124,4822
BG,13306,763
BG,15941,45
BG,16154,540
BG,20657,774
BG,20665,183
BG,20750,9
BG,20822,199
BG,20876,70
BG,20911,1022
BG,20956,194
BG,2111,42
BG,21230,478
BG,21249,399
BG,21415,1797
BG,24750,1263
BG,24950,9
BG,24964,863
BG,25147,1939
BG,25206,382
BG,25374,2190
BG,25556,43
BG,28820,22
BG,28898,1834
BG,28909,162
BG,29030,298
BG,29084,2591
BG,29244,550
BG,29448,949
BG,29556,385
BG,29580,1105
BG,29582,2071
BG,29622,180
BG,29667,646
BG,29687,2637
BG,3.268,293
BG,3.332,24
BG,3.442,72
BG,3.576,145
BG,3.606,246
BG,3.696,60
BG,3.876,12
BG,30832,36
BG,31029,137
BG,31250,195
BG,31291,344
BG,31296,278
BG,31420,1153
BG,31435,83
BG,31460,13
BG,3245,457
BG,34224,1400
BG,34295,420
BG,34361,765
BG,34368,710
BG,34376,277
BG,34395,88
BG,34524,128
BG,34569,2706
BG,34577,363
BG,34674,404
BG,34754,750
BG,34770,72
BG,34841,17
BG,34909,257
BG,34917,5
BG,34935,135
BG,35122,653
BG,35141,1272
BG,35249,221
BG,35424,170
BG,35448,136
BG,35503,147
BG,35508,488
BG,35563,39
BG,35621,427
BG,35654,147
BG,35773,409
BG,38924,1705
BG,38932,182
BG,38971,24
BG,39135,372
BG,39184,803
BG,39220,97
BG,39246,1260
BG,39251,898
BG,39388,231
BG,39396,131
BG,39401,301
BG,39505,74
BG,39533,33
BG,39553,52
BG,39910,90
BG,41017,63
BG,41019,1293
BG,41313,1274
BG,41624,156
BG,41782,136
BG,41922,67
BG,41989,230
BG,42049,222
BG,42081,1030
BG,42248,897
BG,42295,6
BG,42410,115
BG,42411,1351
BG,42431,74
BG,42459,235
BG,42459_25076,43
BG,42555,458
BG,42735,448
BG,42794,865
BG,42844,1
BG,42855,63
BG,43068,1
BG,43205,2301
BG,43548,1081
BG,43561,388
BG,43589,498
BG,44028,65
BG,44077,13
BG,44102,38
BG,44247,182
BG,44309,279
BG,44313,651
BG,44317,163
BG,44525,341
BG,44814,157
BG,44851,203
BG,45007,27
BG,47285,15
BG,47374,245
BG,47402,373
BG,47453,38
BG,47510,139
BG,47624,651
BG,47771,391
BG,47849,16
BG,47982,483
BG,48030,64
BG,48181,5
BG,48264,354
BG,48452,31
BG,48584,356
BG,48698,2
BG,48747,841
BG,48917,1259
BG,49177,10
BG,49330,253
BG,49387,580
BG,49518,89
BG,49740,827
BG,49773,32
BG,49849,548
BG,50186,376
BG,50302,32
BG,50385,19
BG,51189,130
BG,51486,42
BG,51582,89
BG,51936,440
BG,5421,2
BG,6802,13
BG,8262,278
BG,8390,273
BG,8431,53
BG,8672,8
BG,8717,2053
BG,8866,15279
BG,8877,1362
BG,8877_65501,615
BG,8967,450
BG,9028,172
BG,9070,1622
BG,9127,781
BH,31452,8544
BH,35313,39
BH,35457,4
BH,35568,51
BH,39015,569
BH,39273,2818
BH,41426,71
BH,47380,54
BH,51375,2062
BH,5416,10062
BI,25429,2523
BI,27822,240
BI,5377,376
BI,8513,7
BJ,28683,6776
BJ,37090,1160
BJ,37136,171
BJ,5377,18
BJ,5560,76
BM,13802,198
BM,32020,86
BN,10094,2155
BN,10101,169
BO,12956,270
BO,22541,180
BO,25620,4404
BO,26210,6174
BO,27714,70
BO,27839,2469
BO,27882,1081
BO,28024,1405
BO,6568,9930
BR,4.515,9
BR,4.518,37
BR,4.519,10
BR,4.52,27
BR,4.521,2
BR,4.524,55
BR,4.525,59
BR,4.526,1
BR,4.527,6
BR,4.529,23
BR,4.532,8
BR,4.533,5
BR,4.5360000000000005,7
BR,4.537,7
BR,4.538,7
BR,4.539,37
BR,4.541,14
BR,4.543,91
BR,4.544,15
BR,4.545,5
BR,4.546,3
BR,4.548,2
BR,4.552,2
BR,4.555,29
BR,4.56,26
BR,4.565,106
BR,4.566,1
BR,4.567,9
BR,4.572,1
BR,4.573,28
BR,4.578,9
BR,4.581,39
BR,4.582,2
BR,4.583,16
BR,4.584,21
BR,4.585,2
BR,4.586,4
BR,4.587,2
BR,4.591,8
BR,4.593,6
BR,4.596,18
BR,4.604,39
BR,4.606,39
BR,4.607,4
BR,4.612,13
BR,4.613,6
BR,4.614,3
BR,4.617,4
BR,4.62,2
BR,4.629,46
BR,4.631,2
BR,4.64,18
BR,4.641,24
BR,4.645,1
BR,4.648,1
BR,4.657,5
BR,4.658,2
BR,4.662,3
BR,4.671,4
BR,4.673,2
BR,4.687,1
BR,4.688,1
BR,4.711,12
BR,4.73,6
BR,4.7330000000000005,1
BR,1916.0,51
BR,2715.0,34
BR,3549.0,131
BR,4230.0,3891
BR,7738.0,21062
BR,8167.0,10494
BR,10429.0,641
BR,10715.0,17
BR,10938.0,46
BR,10954.0,3
BR,11242.0,5
BR,11271.0,13
BR,11338.0,6
BR,11419.0,14
BR,11431.0,21
BR,11432.0,13
BR,11706.0,5
BR,11835.0,56
