dst_ip,Frequency
1.113.84.11,6
1.113.86.11,6
1.113.87.11,6
1.113.9.0,6
1.113.90.7,8
1.114.100.34,6
1.114.107.14,10
1.114.118.33,16
1.114.16.0,6
1.114.187.1,6
1.114.188.1,6
1.114.189.1,6
1.114.190.1,6
1.114.195.1,6
1.114.198.1,6
1.114.21.0,6
1.114.23.0,6
1.114.25.0,6
1.114.26.0,6
1.114.6.0,6
1.114.88.11,6
1.114.90.11,6
1.114.93.11,6
1.115.0.0,17
1.115.10.0,6
1.115.15.0,6
1.115.187.1,6
1.115.191.1,6
1.115.192.1,6
1.115.193.1,6
1.115.195.1,6
1.115.196.1,6
1.115.197.1,6
1.115.24.0,6
1.115.27.0,6
1.115.30.0,6
1.115.7.0,6
1.115.89.11,6
1.115.90.11,6
1.115.92.11,6
1.115.93.11,6
1.116.14.0,6
1.116.15.1,6
1.116.194.1,6
1.116.195.1,6
1.116.196.1,6
1.116.23.0,6
1.116.24.0,7
1.116.254.11,6
1.116.26.0,6
1.116.28.0,6
1.116.29.0,6
1.116.56.0,6
1.116.86.11,6
1.116.88.11,6
1.116.94.11,6
1.117.0.0,20
1.117.13.0,6
1.117.188.1,6
1.117.189.1,6
1.117.192.1,6
1.117.193.1,6
1.117.196.1,6
1.117.197.1,6
1.117.22.0,6
1.117.27.0,6
1.117.5.0,6
1.117.83.11,6
1.117.85.11,6
1.117.87.11,6
1.117.90.11,6
1.117.92.11,6
1.117.93.11,6
1.118.11.0,6
1.118.16.0,6
1.118.187.1,6
1.118.188.1,6
1.118.19.0,6
1.118.191.1,6
1.118.192.1,6
1.118.196.1,6
1.118.198.1,6
1.118.2.0,6
1.118.207.0,6
1.118.23.15,6
1.118.27.0,6
1.118.31.203,8
1.118.4.0,6
1.118.7.0,6
1.118.87.11,6
1.118.89.11,6
1.118.94.11,6
1.119.0.0,24
1.119.12.239,17
1.119.13.0,6
1.119.15.0,6
1.119.18.0,6
1.119.188.1,6
1.119.190.1,6
1.119.192.1,6
1.119.193.1,6
1.119.197.1,6
1.119.198.1,6
1.119.20.0,6
1.119.23.0,6
1.119.25.0,6
1.119.254.12,6
1.119.28.0,6
1.119.3.0,6
1.119.5.0,6
1.119.6.0,6
1.119.82.12,6
1.119.83.11,6
1.119.85.11,6
1.119.86.11,6
1.119.88.11,6
1.119.91.11,6
1.119.93.11,6
1.12.1.0,16
1.12.12.0,6
1.12.13.0,8
1.12.183.226,114
1.12.187.1,6
1.12.188.1,6
1.12.190.1,6
1.12.193.1,6
1.12.194.1,6
1.12.196.1,6
1.12.197.1,6
1.12.2.0,6
1.12.20.0,6
1.12.22.0,6
1.12.25.0,6
1.12.5.0,6
1.12.85.11,6
1.12.87.11,6
1.12.92.11,6
1.120.12.1,6
1.120.140.3,8
1.120.15.0,6
1.120.187.1,6
1.120.191.1,6
1.120.192.1,6
1.120.193.1,6
1.120.194.1,6
1.120.195.1,6
1.120.196.1,6
1.120.198.1,6
1.120.20.0,6
1.120.20.15,8
1.120.25.0,6
1.120.27.0,6
1.120.30.0,6
1.120.4.0,6
1.120.49.1,6
1.120.69.249,9
1.120.87.11,6
1.120.89.11,6
1.120.9.0,6
1.121.0.0,18
1.121.121.14,6
1.121.13.0,6
1.121.14.0,6
1.121.190.1,6
1.121.192.13,8
1.121.195.1,6
1.121.197.1,6
1.121.198.1,6
1.121.21.14,6
1.121.26.0,6
1.121.28.0,6
1.121.29.0,6
1.121.3.0,6
1.121.48.14,6
1.121.6.0,6
1.121.8.0,8
1.121.84.11,6
1.121.9.0,6
1.122.135.1,10
1.122.18.0,6
1.122.187.1,6
1.122.188.1,6
1.122.190.1,6
1.122.193.1,6
1.122.194.1,6
1.122.20.0,6
1.122.210.0,6
1.122.25.0,6
1.122.81.0,6
1.122.85.11,6
1.122.90.11,6
1.122.92.11,6
1.123.12.0,6
1.123.130.7,8
1.123.14.0,6
1.123.188.1,6
1.123.193.1,6
1.123.194.1,6
1.123.195.1,6
1.123.198.1,6
1.123.2.0,6
1.123.236.0,6
1.123.26.0,6
1.123.29.0,6
1.123.41.0,10
1.123.7.0,6
1.123.84.11,6
1.123.86.11,6
1.123.89.11,6
1.123.91.11,6
1.124.11.0,6
1.124.11.1,6
1.124.16.0,6
1.124.188.1,6
1.124.19.13,6
1.124.190.1,6
1.124.191.1,6
1.124.193.1,6
1.124.195.1,6
1.124.196.1,6
1.124.197.1,6
1.124.227.14,6
1.124.23.0,6
1.124.243.8,8
1.124.26.0,6
1.124.28.0,6
1.124.5.0,6
1.124.6.0,6
1.124.7.7,6
1.124.88.11,6
1.124.90.11,6
1.124.93.11,6
1.125.10.0,6
1.125.100.15,6
1.125.110.13,6
1.125.179.12,10
1.125.188.1,6
1.125.189.1,6
1.125.19.0,6
1.125.190.1,6
1.125.192.1,6
1.125.194.1,6
1.125.195.1,6
1.125.196.1,6
1.125.197.1,6
1.125.198.1,6
1.125.24.0,6
1.125.5.0,6
1.125.7.0,6
1.125.85.11,6
1.125.9.0,6
1.125.90.11,6
1.126.13.0,6
1.126.16.0,6
1.126.188.12,6
1.126.190.1,6
1.126.192.1,6
1.126.193.1,6
1.126.196.1,6
1.126.197.1,6
1.126.198.1,6
1.126.210.12,6
1.126.24.0,6
1.126.26.0,6
1.126.28.0,6
1.126.86.11,6
1.126.94.11,6
1.127.0.0,18
1.127.10.0,6
1.127.187.1,6
1.127.190.1,6
1.127.191.1,6
1.127.194.1,6
1.127.2.0,6
1.127.22.0,6
1.127.23.0,6
1.127.25.0,6
1.127.27.0,6
1.127.3.0,6
1.127.7.0,6
1.127.83.11,6
1.127.85.11,6
1.127.88.11,6
1.127.90.11,6
1.128.0.0,17
1.128.1.0,6
1.128.12.0,6
1.128.131.51,6
1.128.154.6,6
1.128.176.0,6
1.128.185.12,6
1.128.188.1,6
1.128.189.1,6
1.128.191.1,8
1.128.195.1,6
1.128.196.1,6
1.128.197.1,6
1.128.2.0,6
1.128.204.4,6
1.128.24.0,6
1.128.28.1,6
1.128.6.0,6
1.128.86.11,6
1.128.89.11,6
1.128.91.11,6
1.128.94.11,6
1.129.11.0,6
1.129.13.0,6
1.129.188.1,6
1.129.189.1,6
1.129.193.1,6
1.129.201.13,6
1.129.23.0,6
1.129.255.0,6
1.129.26.0,6
1.129.3.0,6
1.129.30.0,6
1.129.6.0,6
1.129.83.11,6
1.129.86.11,6
1.13.0.0,19
1.13.1.0,14
1.13.11.0,6
1.13.14.0,6
1.13.184.14,6
1.13.189.1,6
1.13.19.0,6
1.13.190.1,6
1.13.193.1,6
1.13.193.5,8
1.13.197.1,6
1.13.224.1,6
1.13.239.13,10
1.13.26.0,6
1.13.4.0,6
1.13.89.11,6
1.13.9.0,6
1.13.92.11,6
