Timestamp,Id,asn,src_port
1/31/2011 21:08,0.0.0.11,21246,4342
1/31/2011 21:09,0.0.0.68,42313,2714
1/31/2011 21:11,0.0.0.217,35047,1490
1/31/2011 21:12,0.0.1.84,39611,2548
1/31/2011 21:14,0.0.1.198,21246,2876
1/31/2011 21:15,0.0.2.91,42313,4018
1/31/2011 21:15,0.0.2.96,21246,4515
1/31/2011 21:16,0.0.2.186,29170,1319
1/31/2011 21:17,0.0.4.5,35047,1293
1/31/2011 21:18,0.0.5.66,42313,2002
1/31/2011 21:18,0.0.5.140,29238,3357
1/31/2011 21:19,0.0.5.175,42313,1610
1/31/2011 21:19,0.0.5.206,42313,3947
1/31/2011 21:20,0.0.6.34,21246,1671
1/31/2011 21:21,0.0.2.91,42313,4044
1/31/2011 21:21,0.0.6.202,21246,4428
1/31/2011 21:21,0.0.7.35,21246,2828
1/31/2011 21:09,0.0.0.95,47975,4364
1/31/2011 21:14,0.0.1.185,8932,17008
1/31/2011 21:14,0.0.1.242,49363,2673
1/31/2011 21:16,0.0.2.238,43733,58888
1/31/2011 21:19,0.0.5.151,12297,4602
1/31/2011 21:23,0.0.9.164,49363,2074
1/31/2011 21:23,0.0.10.30,47975,1855
1/31/2011 21:08,0.0.0.28,10834,4355
1/31/2011 21:10,0.0.0.106,22927,2046
1/31/2011 21:10,0.0.0.171,11664,49556
1/31/2011 21:11,0.0.0.206,22927,47225
1/31/2011 21:12,0.0.1.16,22927,1761
1/31/2011 21:12,0.0.1.85,10617,22941
1/31/2011 21:14,0.0.1.172,7303,4411
1/31/2011 21:14,0.0.1.175,22927,2161
1/31/2011 21:15,0.0.2.11,7303,34953
1/31/2011 21:15,0.0.2.18,10318,28465
1/31/2011 21:15,0.0.2.139,22927,17158
1/31/2011 21:15,0.0.2.140,7303,2979
1/31/2011 21:16,0.0.2.190,16814,2107
1/31/2011 21:16,0.0.2.197,22927,4446
1/31/2011 21:16,0.0.2.237,22927,13519
1/31/2011 21:16,0.0.3.3,22927,60177
1/31/2011 21:16,0.0.3.42,52251,2496
1/31/2011 21:16,0.0.3.108,7303,1922
1/31/2011 21:16,0.0.3.113,22927,2737
1/31/2011 21:17,0.0.3.165,3549,1344
1/31/2011 21:17,0.0.3.193,22927,16005
1/31/2011 21:17,0.0.3.225,7303,43621
1/31/2011 21:17,0.0.4.88,7303,3220
1/31/2011 21:18,0.0.5.4,10481,2899
1/31/2011 21:18,0.0.2.18,10318,28749
1/31/2011 21:18,0.0.5.123,3549,3521
1/31/2011 21:19,0.0.5.204,7303,2176
1/31/2011 21:19,0.0.5.209,22080,2984
1/31/2011 21:20,0.0.6.17,10318,4590
1/31/2011 21:20,0.0.6.25,7303,3762
1/31/2011 21:21,0.0.6.102,7303,50099
1/31/2011 21:21,0.0.6.109,22927,2675
1/31/2011 21:21,0.0.6.131,22927,33529
1/31/2011 21:21,0.0.1.16,22927,2183
1/31/2011 21:21,0.0.7.44,22927,29881
1/31/2011 21:22,0.0.8.152,22927,3013
1/31/2011 21:23,0.0.9.193,3549,56811
1/31/2011 21:24,0.0.12.123,10481,34866
1/31/2011 21:17,0.0.3.170,6830_8514,2157
1/31/2011 21:23,0.0.9.220,8447,51904
1/31/2011 21:21,0.0.6.96,1221,4893
1/31/2011 21:08,0.0.0.33,35567,55539
1/31/2011 21:09,0.0.0.54,9146,4326
1/31/2011 21:12,0.0.1.72,25144,3589
1/31/2011 21:15,0.0.2.150,42432,2272
1/31/2011 21:16,0.0.2.165,25144,2887
1/31/2011 21:17,0.0.3.243,9146,3415
1/31/2011 21:17,0.0.4.1,9146,2001
1/31/2011 21:17,0.0.4.28,9146,1910
1/31/2011 21:18,0.0.5.88,9119,2962
1/31/2011 21:09,0.0.0.64,24323,56077
1/31/2011 21:12,0.0.1.37,45951,51659
1/31/2011 21:15,0.0.2.5,6848,62733
1/31/2011 21:24,0.0.12.121,25395,54694
1/31/2011 21:08,0.0.0.16,29687,3767
1/31/2011 21:13,0.0.1.96,42735,1783
1/31/2011 21:15,0.0.2.32,44309,3025
1/31/2011 21:15,0.0.2.47,47624,4004
1/31/2011 21:15,0.0.2.60,8866,1940
1/31/2011 21:16,0.0.3.141,20911,3911
1/31/2011 21:17,0.0.3.176,39388,56452
1/31/2011 21:18,0.0.5.35,43561,1510
1/31/2011 21:18,0.0.5.92,41313,4755
1/31/2011 21:19,0.0.5.153,8866,3811
1/31/2011 21:23,0.0.10.89,12829,1564
1/31/2011 21:09,0.0.0.94,5416,2460
1/31/2011 21:14,0.0.1.181,51375,4586
1/31/2011 21:16,0.0.2.214,28683,3466
1/31/2011 21:18,0.0.4.229,28683,1298
1/31/2011 21:12,0.0.1.26,27839,50092
1/31/2011 21:12,0.0.1.39,26210,2927
1/31/2011 21:14,0.0.1.245,6568,56800
1/31/2011 21:17,0.0.3.186,6568,1530
1/31/2011 21:17,0.0.3.205,26210,3571
1/31/2011 21:18,0.0.4.220,25620,3929
1/31/2011 21:18,0.0.5.3,26210,29766
1/31/2011 21:19,0.0.1.245,6568,61077
1/31/2011 21:22,0.0.7.231,6568,4593
1/31/2011 21:08,0.0.0.10,7738,1715
1/31/2011 21:08,0.0.0.20,8167,3642
1/31/2011 21:08,0.0.0.29,4230,58642
1/31/2011 21:08,0.0.0.38,7738,2223
1/31/2011 21:08,0.0.0.40,27699,34614
1/31/2011 21:08,0.0.0.43,8167,1228
1/31/2011 21:08,0.0.0.44,8167,10838
1/31/2011 21:09,0.0.0.50,18881,10228
1/31/2011 21:09,0.0.0.53,7738,18132
1/31/2011 21:09,0.0.0.58,7738,4789
1/31/2011 21:09,0.0.0.62,7738,33420
1/31/2011 21:09,0.0.0.65,8167,58270
1/31/2011 21:09,0.0.0.69,27699,2628
1/31/2011 21:09,0.0.0.73,4230,1532
1/31/2011 21:09,0.0.0.81,7738,61620
1/31/2011 21:09,0.0.0.92,18881,2468
1/31/2011 21:09,0.0.0.96,8167,1286
1/31/2011 21:10,0.0.0.104,16735,62083
1/31/2011 21:10,0.0.0.105,16735,27484
1/31/2011 21:10,0.0.0.111,7738,26805
1/31/2011 21:10,0.0.0.112,8167,3395
1/31/2011 21:10,0.0.0.118,8167,1153
1/31/2011 21:10,0.0.0.119,18881,4871
1/31/2011 21:10,0.0.0.121,7738,62938
1/31/2011 21:10,0.0.0.122,28288,3474
1/31/2011 21:10,0.0.0.129,4230,4245
1/31/2011 21:10,0.0.0.133,8167,2349
1/31/2011 21:10,0.0.0.152,23106,3880
1/31/2011 21:10,0.0.0.155,7738,25201
1/31/2011 21:10,0.0.0.156,27699,4516
1/31/2011 21:10,0.0.0.158,8167,3519
1/31/2011 21:10,0.0.0.164,28270,1614
1/31/2011 21:10,0.0.0.165,27699,63734
1/31/2011 21:11,0.0.0.182,8167,4768
1/31/2011 21:11,0.0.0.183,7738,3520
1/31/2011 21:11,0.0.0.186,7738,60819
1/31/2011 21:11,0.0.0.196,7738,3854
1/31/2011 21:11,0.0.0.199,27699,4825
1/31/2011 21:11,0.0.0.202,7738,3928
1/31/2011 21:11,0.0.0.210,18881,2688
1/31/2011 21:11,0.0.0.220,27699,1332
1/31/2011 21:11,0.0.0.221,8167,4894
1/31/2011 21:11,0.0.0.225,17379,4793
1/31/2011 21:11,0.0.0.237,16735,4512
1/31/2011 21:11,0.0.0.247,26622,3716
1/31/2011 21:11,0.0.1.2,7738,13826
1/31/2011 21:11,0.0.1.5,27699,64319
1/31/2011 21:12,0.0.1.13,7738,63426
1/31/2011 21:12,0.0.1.18,8167,1209
1/31/2011 21:12,0.0.1.20,22085,4349
1/31/2011 21:12,0.0.1.29,4.581,2486
1/31/2011 21:12,0.0.1.33,7738,1606
1/31/2011 21:12,0.0.1.46,7738,59071
1/31/2011 21:12,0.0.1.51,8167,1687
1/31/2011 21:12,0.0.1.54,7738,2668
1/31/2011 21:12,0.0.1.55,18881,3107
1/31/2011 21:12,0.0.1.57,8167,50635
1/31/2011 21:12,0.0.1.58,28202,4226
1/31/2011 21:12,0.0.1.67,7738,3907
1/31/2011 21:12,0.0.1.69,7738,4313
1/31/2011 21:12,0.0.1.74,53098,60789
1/31/2011 21:12,0.0.1.75,18881,2180
1/31/2011 21:12,0.0.1.76,28158,3053
1/31/2011 21:12,0.0.1.78,8167,4412
1/31/2011 21:12,0.0.1.82,18881,1224
1/31/2011 21:12,0.0.1.83,7738,2393
1/31/2011 21:12,0.0.1.87,7738,2402
1/31/2011 21:13,0.0.1.89,7738,1476
1/31/2011 21:13,0.0.1.94,7738,3816
1/31/2011 21:13,0.0.1.97,7738,61929
1/31/2011 21:13,0.0.1.111,28573,2709
1/31/2011 21:13,0.0.1.112,4230,3119
1/31/2011 21:13,0.0.1.114,16735,24036
1/31/2011 21:13,0.0.1.117,28573,3275
1/31/2011 21:13,0.0.1.124,27699,3384
1/31/2011 21:13,0.0.1.128,7738,16456
1/31/2011 21:13,0.0.1.130,28260,1360
1/31/2011 21:13,0.0.1.131,27699,60640
1/31/2011 21:13,0.0.1.134,22085,4571
1/31/2011 21:13,0.0.1.138,28573,3431
1/31/2011 21:13,0.0.1.148,8167,60257
1/31/2011 21:13,0.0.1.153,7738,11895
1/31/2011 21:13,0.0.1.154,28142,1959
1/31/2011 21:14,0.0.1.168,8167,3594
1/31/2011 21:14,0.0.1.182,7738,1772
1/31/2011 21:14,0.0.1.186,4230,62308
1/31/2011 21:14,0.0.1.202,4230,1482
1/31/2011 21:14,0.0.1.206,28183,61985
1/31/2011 21:14,0.0.1.211,7738,1565
1/31/2011 21:14,0.0.1.213,7738,2198
1/31/2011 21:14,0.0.1.215,28573,3294
1/31/2011 21:14,0.0.1.217,28573,3172
1/31/2011 21:14,0.0.1.222,7738,1288
1/31/2011 21:14,0.0.1.234,28347,3911
1/31/2011 21:14,0.0.1.237,7738,63120
