Source,Target,Type
0.0.0.169,1.83.0.0,Directed
0.0.0.170,1.37.0.0,Directed
0.0.0.170,1.37.0.0,Directed
0.0.0.171,1.67.0.0,Directed
0.0.0.171,1.67.0.0,Directed
0.0.0.172,1.69.0.0,Directed
0.0.0.172,1.69.0.0,Directed
0.0.0.173,1.87.0.0,Directed
0.0.0.173,1.87.0.0,Directed
0.0.0.174,1.19.0.0,Directed
0.0.0.174,1.19.0.0,Directed
0.0.0.175,1.59.0.0,Directed
0.0.0.175,1.59.0.0,Directed
0.0.0.176,1.31.0.0,Directed
0.0.0.176,1.31.0.0,Directed
0.0.0.177,1.69.0.0,Directed
0.0.0.177,1.24.1.0,Directed
0.0.0.177,1.69.0.0,Directed
0.0.0.177,1.24.1.0,Directed
0.0.0.178,1.41.0.0,Directed
0.0.0.178,1.41.0.0,Directed
0.0.0.179,1.65.0.0,Directed
0.0.0.179,1.65.0.0,Directed
0.0.0.18,1.19.0.0,Directed
0.0.0.18,1.19.0.0,Directed
0.0.0.180,1.51.0.0,Directed
0.0.0.180,1.51.0.0,Directed
0.0.0.181,1.75.0.0,Directed
0.0.0.181,1.75.0.0,Directed
0.0.0.182,1.89.0.0,Directed
0.0.0.182,1.89.0.0,Directed
0.0.0.183,1.79.0.0,Directed
0.0.0.183,1.79.0.0,Directed
0.0.0.184,1.61.0.0,Directed
0.0.0.184,1.61.0.0,Directed
0.0.0.185,1.81.0.0,Directed
0.0.0.185,1.81.0.0,Directed
0.0.0.186,1.43.0.0,Directed
0.0.0.186,1.43.0.0,Directed
0.0.0.187,1.23.0.0,Directed
0.0.0.187,1.23.0.0,Directed
0.0.0.188,1.91.0.0,Directed
0.0.0.188,1.91.0.0,Directed
0.0.0.189,1.33.0.0,Directed
0.0.0.189,1.33.0.0,Directed
0.0.0.19,1.7.0.0,Directed
0.0.0.19,1.7.0.0,Directed
0.0.0.190,1.35.0.0,Directed
0.0.0.190,1.35.0.0,Directed
0.0.0.191,1.85.0.0,Directed
0.0.0.191,1.85.0.0,Directed
0.0.0.192,1.13.0.0,Directed
0.0.0.192,1.13.0.0,Directed
0.0.0.193,1.55.0.0,Directed
0.0.0.193,1.55.0.0,Directed
0.0.0.194,1.93.0.0,Directed
0.0.0.194,1.93.0.0,Directed
0.0.0.195,1.5.0.0,Directed
0.0.0.195,1.5.0.0,Directed
0.0.0.196,1.27.0.0,Directed
0.0.0.196,1.27.0.0,Directed
0.0.0.197,1.15.0.0,Directed
0.0.0.197,1.15.0.0,Directed
0.0.0.198,1.85.0.0,Directed
0.0.0.198,1.85.0.0,Directed
0.0.0.199,1.47.0.0,Directed
0.0.0.199,1.47.0.0,Directed
0.0.0.2,1.5.0.0,Directed
0.0.0.2,1.5.0.0,Directed
0.0.0.20,1.29.0.0,Directed
0.0.0.20,1.29.0.0,Directed
0.0.0.200,1.37.0.0,Directed
0.0.0.200,1.37.0.0,Directed
0.0.0.201,1.57.0.0,Directed
0.0.0.201,1.57.0.0,Directed
